case_id,mode,document_id,expected_category,predicted_category,route_correct,query,standalone_query,answer,latency_ms,throttle_wait_ms,retrieval_bypassed,retrieved_chunk_count,context_recall,context_precision,gold_evidence_hits,relevant_chunks,fact_accuracy,facts_matched,facts_total,fact_details,repeat
document-004,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,Which flight travels from Beijing to Dubai on May 15?,Which flight travels from Beijing to Dubai on May 15?,EK307,2500.524299997778,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""flight number"", ""matched"": true, ""patterns"": [""EK307"", ""EK 307""]}]",1
document-004,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,Which flight travels from Beijing to Dubai on May 15?,Which flight travels from Beijing to Dubai on May 15?,EK307,2613.127800002985,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""flight number"", ""matched"": true, ""patterns"": [""EK307"", ""EK 307""]}]",1
followup-001,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,DOCUMENT,False,And how much was the tax?,And how much was the tax?,CNY 4528.00,1577.7348999981768,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""tax amount"", ""matched"": true, ""patterns"": [""4528"", ""CNY 4528""]}]",1
followup-001,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,DOCUMENT,False,And how much was the tax?,And how much was the tax?,CNY 4528.00,4270.429700001841,421.9999999986612,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""tax amount"", ""matched"": true, ""patterns"": [""4528"", ""CNY 4528""]}]",1
followup-001,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,DOCUMENT,False,And how much was the tax?,And how much was the tax?,CNY 4528.00,4187.98219999735,296.0000000020955,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""tax amount"", ""matched"": true, ""patterns"": [""4528"", ""CNY 4528""]}]",1
followup-002,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,DOCUMENT,False,What time does it depart?,What time does it depart?,Information not found in the document.,5072.071300004609,311.99999999807915,False,2,1.0,1.0,1,2,0.0,0,1,"[{""name"": ""departure time"", ""matched"": false, ""patterns"": [""00:40"", ""12:40 AM"", ""00 40""]}]",1
followup-002,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,DOCUMENT,False,What time does it depart?,What time does it depart?,Information not found in the document.,7273.98340000218,0.0,False,2,1.0,1.0,1,2,0.0,0,1,"[{""name"": ""departure time"", ""matched"": false, ""patterns"": [""00:40"", ""12:40 AM"", ""00 40""]}]",1
followup-002,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,DOCUMENT,False,What time does it depart?,What time does it depart?,Information not found in the document.,7333.461399997759,0.0,False,2,1.0,1.0,1,2,0.0,0,1,"[{""name"": ""departure time"", ""matched"": false, ""patterns"": [""00:40"", ""12:40 AM"", ""00 40""]}]",1
followup-003,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,DOCUMENT,False,Which terminal does it arrive at?,Which terminal does it arrive at?,"T3 and T4 (depending on the flight: EK307 arrives at T3, EK201 arrives at T4, EK236 arrives at T3, and EK",4694.058100001712,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""arrival terminal"", ""matched"": true, ""patterns"": [""T4"", ""Terminal 4"", ""terminal four""]}]",1
followup-003,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,DOCUMENT,False,Which terminal does it arrive at?,Which terminal does it arrive at?,"T3 and T4 (depending on the flight: EK307 arrives at T3, EK201 arrives at T4, EK236 arrives at T3, and EK",6987.897500002873,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""arrival terminal"", ""matched"": true, ""patterns"": [""T4"", ""Terminal 4"", ""terminal four""]}]",1
followup-003,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,DOCUMENT,False,Which terminal does it arrive at?,Which terminal does it arrive at?,"T3 and T4 (depending on the flight: EK307 arrives at T3, EK201 arrives at T4, EK236 arrives at T3, and EK",6624.455400000443,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""arrival terminal"", ""matched"": true, ""patterns"": [""T4"", ""Terminal 4"", ""terminal four""]}]",1
followup-004,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,DOCUMENT,False,Does it arrive the same day?,Does it arrive the same day?,"1"" which means next day.
    *   Without specifying which flight ""it"" refers to, we cannot answer ""Does it arrive the same day?"" with a simple yes",4537.538099997619,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""next-day arrival"", ""matched"": true, ""patterns"": [""next day"", ""following day"", ""+1"", ""one day later""]}]",1
followup-004,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,DOCUMENT,False,Does it arrive the same day?,Does it arrive the same day?,,6695.612800001982,0.0,False,2,1.0,1.0,1,2,0.0,0,1,"[{""name"": ""next-day arrival"", ""matched"": false, ""patterns"": [""next day"", ""following day"", ""+1"", ""one day later""]}]",1
followup-004,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,DOCUMENT,False,Does it arrive the same day?,Does it arrive the same day?,"1"" which means next day.
    *   Without specifying which flight ""it"" refers to, we cannot answer ""Does it arrive the same day?"" with a simple yes",7064.341099998273,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""next-day arrival"", ""matched"": true, ""patterns"": [""next day"", ""following day"", ""+1"", ""one day later""]}]",1
history-001,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,CONVERSATION_HISTORY,DOCUMENT,False,What was my first question?,What was my first question?,Information not found in the document.,1660.9460000036051,0.0,False,2,,,0,0,0.0,0,1,"[{""name"": ""first question"", ""matched"": false, ""patterns"": [""what form of payment was used for the itinerary""]}]",1
history-001,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,CONVERSATION_HISTORY,CONVERSATION_HISTORY,True,What was my first question?,What was my first question?,"Your first question was: ""What form of payment was used for the itinerary?""",3745.331099999021,328.0000000013388,True,0,,,0,0,1.0,1,1,"[{""name"": ""first question"", ""matched"": true, ""patterns"": [""what form of payment was used for the itinerary""]}]",1
history-001,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,CONVERSATION_HISTORY,CONVERSATION_HISTORY,True,What was my first question?,What was my first question?,"Your first question was: ""What form of payment was used for the itinerary?""",3845.5786000049557,328.9999999979045,True,0,,,0,0,1.0,1,1,"[{""name"": ""first question"", ""matched"": true, ""patterns"": [""what form of payment was used for the itinerary""]}]",1
history-002,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,CONVERSATION_HISTORY,DOCUMENT,False,What payment method did you mention earlier?,What payment method did you mention earlier?,Online payment,2086.9925000006333,250.0,False,2,,,0,0,1.0,1,1,"[{""name"": ""previous payment method"", ""matched"": true, ""patterns"": [""online"", ""online payment"", ""paid online""]}]",1
history-002,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,CONVERSATION_HISTORY,CONVERSATION_HISTORY,True,What payment method did you mention earlier?,What payment method did you mention earlier?,"Based on the conversation history, the itinerary was paid for online.",5012.340500004939,0.0,True,0,,,0,0,1.0,1,1,"[{""name"": ""previous payment method"", ""matched"": true, ""patterns"": [""online"", ""online payment"", ""paid online""]}]",1
history-002,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,CONVERSATION_HISTORY,CONVERSATION_HISTORY,True,What payment method did you mention earlier?,What payment method did you mention earlier?,"Based on the conversation history, the itinerary was paid for online.",4793.012099995394,0.0,True,0,,,0,0,1.0,1,1,"[{""name"": ""previous payment method"", ""matched"": true, ""patterns"": [""online"", ""online payment"", ""paid online""]}]",1
history-003,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,CONVERSATION_HISTORY,DOCUMENT,False,Which flight number did you mention in your first answer?,Which flight number did you mention in your first answer?,Information not found in the document.,2789.176400001452,139.99999999941792,False,2,,,0,0,0.0,0,1,"[{""name"": ""previously mentioned flight"", ""matched"": false, ""patterns"": [""EK307"", ""EK 307""]}]",1
history-003,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,CONVERSATION_HISTORY,CONVERSATION_HISTORY,True,Which flight number did you mention in your first answer?,Which flight number did you mention in your first answer?,Flight EK307,3721.215799996571,0.0,True,0,,,0,0,1.0,1,1,"[{""name"": ""previously mentioned flight"", ""matched"": true, ""patterns"": [""EK307"", ""EK 307""]}]",1
history-003,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,CONVERSATION_HISTORY,CONVERSATION_HISTORY,True,Which flight number did you mention in your first answer?,Which flight number did you mention in your first answer?,The flight number mentioned in the first answer is EK307.,4225.7221000036225,327.9999999940628,True,0,,,0,0,1.0,1,1,"[{""name"": ""previously mentioned flight"", ""matched"": true, ""patterns"": [""EK307"", ""EK 307""]}]",1
